generation,best_fitness,mean_fitness,best_macro_f1_val,best_recall_high_val,best_interpretability_penalty,best_deviation_penalty
163,0.40998258243735386,0.40993971108498184,0.5042042612066528,0.275,0.0,0.01269987143318933
164,0.40998258243735386,0.40994462172499485,0.5042042612066528,0.275,0.0,0.01269987143318933
165,0.40998258243735386,0.4099491694531558,0.5042042612066528,0.275,0.0,0.01269987143318933
166,0.4099902844825868,0.4099546308188233,0.5042042612066528,0.275,0.0,0.012661361207024789
167,0.409994316256799,0.40996130823497173,0.5042042612066528,0.275,1.0376433630461023e-12,0.012641202334925859
168,0.40999943391759647,0.4099664113762565,0.5042042612066528,0.275,4.2814160274253765e-14,0.012615614031933573
169,0.40999943391759647,0.40996821371158754,0.5042042612066528,0.275,4.2814160274253765e-14,0.012615614031933573
170,0.41000573957981323,0.4099706885970428,0.5042042612066528,0.275,0.0,0.012584085720892478
171,0.41000573957981323,0.4099744739886866,0.5042042612066528,0.275,0.0,0.012584085720892478
172,0.41000573957981323,0.409978236685352,0.5042042612066528,0.275,0.0,0.012584085720892478
173,0.41001928697948,0.4099819934259453,0.5042042612066528,0.275,0.0,0.012516348722558877
174,0.41002054958252004,0.409987463738724,0.5042042612066528,0.275,0.0,0.012510035707358383
175,0.41003027883734894,0.40999141189807775,0.5042042612066528,0.275,0.0,0.012461389433213904
176,0.41003088360585616,0.4099991150876472,0.5042042612066528,0.275,0.0,0.012458365590677829
177,0.41003088360585616,0.4100009581902127,0.5042042612066528,0.275,0.0,0.012458365590677829
178,0.4100454081009265,0.4100037563288922,0.5042042612066528,0.275,0.0001392577947997509,0.012246485320526522
179,0.4100454081009265,0.41000802588539736,0.5042042612066528,0.275,0.0001392577947997509,0.012246485320526522
